POS,PLAYERID,NAME,NFLTEAM
QB,18210,Patrick Mahomes,KC
QB,14874,Andrew Luck,Ind
QB,11237,Matt Ryan,Atl
QB,13994,Cam Newton,Car
QB,17794,Jared Goff,LAR
QB,14880,Kirk Cousins,Min
QB,18168,Mitchell Trubisky,Chi
QB,18246,Deshaun Watson,Hou
QB,8439,Aaron Rodgers,GB
QB,2330,Tom Brady,NE
QB,2580,Drew Brees,NO
QB,5536,Ben Roethlisberger,Pit
QB,5529,Philip Rivers,LAC
QB,14012,Andy Dalton,Cin
QB,16724,Blake Bortles,Jax
QB,11252,Joe Flacco,Bal
QB,14881,Russell Wilson,Sea
QB,17795,Carson Wentz,Phi
QB,12483,Matthew Stafford,Det
QB,8664,Ryan Fitzpatrick,TB
QB,5526,Eli Manning,NYG
QB,16757,Derek Carr,Oak
QB,17907,Dak Prescott,Dal
QB,15168,Case Keenum,Den
QB,8416,Alex Smith,Wsh
QB,18566,Sam Darnold,NYJ
QB,18565,Baker Mayfield,Cle
QB,18268,C.J. Beathard,SF
QB,17399,Jameis Winston,TB
QB,17610,Marcus Mariota,Ten
QB,14876,Ryan Tannehill,Mia
QB,18570,Josh Allen,Buf
QB,14879,Brock Osweiler,Mia
QB,18572,Josh Rosen,Ari
QB,16760,Jimmy Garoppolo,SF
QB,14163,Tyrod Taylor,Cle
QB,18469,Taysom Hill,NO
QB,18590,Lamar Jackson,Bal
QB,14877,Nick Foles,Phi
QB,13197,Sam Bradford,Ari
QB,13987,Blaine Gabbert,Ten
QB,17872,Cody Kessler,Jax
QB,8627,Derek Anderson,Buf
QB,13484,Joe Webb III,Hou
QB,17965,Jeff Driskel,Cin
QB,18252,Nathan Peterman,Buf
QB,18028,Taylor Heinicke,Car
QB,17533,Sean Mannion,LAR
QB,5615,Matt Schaub,Atl
QB,3609,Josh McCown,NYJ
QB,4260,Shaun Hill,Min
QB,9635,Kellen Clemens,LAC
QB,9667,Charlie Whitehurst,Cle
QB,10487,Drew Stanton,Cle
QB,11291,Chad Henne,KC
QB,11394,Josh Johnson,Oak
QB,12473,Josh Freeman,Ind
QB,13199,Colt McCoy,Wsh
QB,14875,Robert Griffin III,Bal
QB,15187,Austin Davis,Ten
QB,15693,Alex Tanney,NYG
QB,15803,EJ Manuel,Oak
QB,15837,Mike Glennon,Ari
QB,15891,Ryan Nassib,Jax
QB,15904,Landry Jones,Jax
QB,15935,Zac Dysert,Ari
QB,15948,Matt Barkley,Buf
QB,16140,Ryan Griffin,TB
QB,16252,Tyler Bray,Chi
QB,16593,Matt McGloin,KC
QB,16810,AJ McCarron,Oak
QB,16814,Zach Mettenberger,Pit
QB,16821,David Fales,Mia
QB,16943,Tom Savage,SF
QB,17434,Bryce Petty,Mia
QB,17455,Trevor Siemian,Min
QB,17572,Garrett Grayson,Atl
QB,17613,Brett Hundley,Sea
QB,17814,Paxton Lynch,Den
QB,17836,Christian Hackenberg,Phi
QB,17877,Connor Cook,Oak
QB,17911,Cardale Jones,LAC
QB,17927,Kevin Hogan,Den
QB,17948,Nate Sudfeld,Phi
QB,17952,Jake Rudock,Det
QB,17959,Brandon Allen,LAR
QB,17978,Brandon Doughty,Ari
QB,18008,Trevone Boykin,Sea
QB,18070,Stephen Morris,Hou
QB,18090,Joe Callahan,Phi
